Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After,
Austria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"12,287.247","13,409.393","14,491.441","15,526.939","16,138.983","17,011.347","17,741.469","18,462.011","19,272.241","20,757.169","22,321.341","23,665.919","24,433.159","24,877.333","25,867.313","27,047.417","28,165.126","29,217.495","30,570.500","32,043.264","33,793.936","34,859.031","35,808.067","36,694.771","38,469.466","40,290.758","42,746.121","45,391.159","46,792.628","45,200.459","46,481.150","48,666.894","49,686.590","50,241.569","51,052.937","51,533.260","52,388.368","54,068.015","56,655.538","60,719.040","58,715.289","63,590.151","71,029.961","71,988.371","73,050.854",2023,
Azerbaijan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,810.254","2,988.294","2,416.168","2,132.411","2,202.579","2,416.589","2,565.262","2,870.084","3,087.049","3,327.517","3,663.382","4,078.322","4,531.744","5,839.001","7,993.593","10,128.882","11,288.319","12,210.793","12,868.986","12,983.566","13,335.168","14,168.526","14,625.584","14,740.405","14,257.540","14,380.188","15,347.341","16,798.121","15,344.671","20,335.335","22,727.892","23,660.458","24,698.092",2022,
The Bahamas,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"12,881.602","13,435.532","14,818.282","16,078.556","16,686.227","17,687.927","18,199.407","19,018.055","19,721.868","20,613.260","21,251.517","20,695.596","20,009.377","20,195.331","20,912.308","21,833.764","22,780.528","23,914.711","24,910.143","26,632.508","27,846.316","28,767.528","29,546.298","29,300.863","29,904.354","31,423.405","32,729.592","33,618.529","33,001.406","31,379.366","31,810.397","32,338.255","33,618.129","32,878.606","33,725.629","34,029.174","33,674.995","34,875.399","35,705.020","36,264.300","26,574.634","29,490.156","34,564.924","36,353.911","37,516.978",2020,
Bahrain,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"18,581.769","20,102.143","21,916.308","23,563.966","24,607.341","24,311.869","24,072.071","23,527.684","24,911.251","25,240.686","26,868.484","27,275.915","29,397.382","31,541.574","32,386.293","32,825.803","33,616.105","34,088.225","35,203.167","36,849.769","39,279.692","39,687.204","38,767.264","39,055.478","39,820.655","40,638.703","41,276.007","42,426.318","43,152.143","41,804.670","42,139.647","45,289.273","47,334.642","48,899.301","49,471.956","49,100.582","49,527.935","50,184.501","51,993.131","56,599.521","53,436.032","54,939.776","61,394.855","63,497.708","65,344.834",2023,
Bangladesh,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,647.963,717.074,759.376,799.742,849.119,880.817,912.366,944.694,973.532,"1,012.269","1,085.840","1,133.387","1,190.751","1,247.386","1,297.986","1,361.098","1,419.514","1,477.300","1,538.941","1,600.894","1,690.488","1,782.374","1,845.558","1,937.359","2,060.144","2,230.258","2,419.611","2,628.146","2,807.520","2,934.397","3,100.476","3,330.677","3,572.447","3,807.441","4,061.872","4,319.664","4,620.214","4,959.530","5,563.893","6,116.365","6,705.448","7,485.821","8,493.937","9,211.637","9,840.469",2020,
Barbados,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"5,961.667","6,379.313","6,422.299","6,689.316","7,161.266","7,447.651","7,959.820","8,340.727","8,905.425","9,553.405","9,550.154","9,455.406","9,088.031","9,345.590","9,701.917","10,069.715","10,621.381","11,274.165","11,782.971","11,945.311","12,716.139","12,655.345","12,915.851","13,418.257","13,930.276","14,886.715","16,154.968","16,897.973","17,271.390","16,470.091","16,233.358","16,398.924","16,573.890","16,620.121","16,883.556","16,846.607","17,264.116","17,551.344","18,179.889","18,370.784","15,483.649","15,331.637","19,304.709","20,765.473","22,034.880",2020,
Belarus,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,032.326","4,749.381","4,288.284","3,912.400","4,108.744","4,680.081","5,156.737","5,419.114","5,878.116","6,332.947","6,799.183","7,473.184","8,610.526","9,786.517","11,165.374","12,515.594","14,110.953","14,256.837","15,590.428","16,793.214","17,411.763","17,885.245","18,493.195","17,926.204","17,622.234","18,413.748","20,025.982","22,301.593","24,872.307","27,029.591","27,819.179","30,115.084","32,098.475",2022,
Belgium,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,587.427","12,637.717","13,510.518","14,078.457","14,953.921","15,674.138","16,279.228","17,057.320","18,472.391","19,758.903","21,098.606","22,124.916","22,895.221","23,105.612","24,282.628","25,307.891","26,079.651","27,462.174","28,254.388","29,606.950","31,325.266","32,306.093","33,218.249","34,073.234","36,097.485","37,913.689","39,830.274","42,120.525","42,791.131","41,846.679","43,219.579","44,203.312","45,050.958","45,771.595","47,122.552","48,286.997","49,041.109","50,546.354","52,661.794","56,786.890","55,809.100","62,292.264","68,373.480","71,035.464","73,221.637",2023,
Belize,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,576.994","1,726.445","1,663.718","1,783.805","2,002.910","1,981.780","2,107.878","2,567.698","2,889.339","3,378.549","3,788.552","4,253.185","4,751.456","5,018.003","4,987.282","4,994.255","5,012.368","5,098.042","5,164.972","5,601.059","6,299.981","6,597.673","6,868.089","7,464.823","7,818.739","8,044.124","8,433.084","8,715.730","8,518.389","8,308.557","8,319.038","8,312.672","8,625.556","8,960.525","9,277.746","9,461.692","9,356.287","9,168.666","9,562.404","10,516.717","9,587.380","11,578.936","13,684.529","14,088.470","14,957.565",2022,
Benin,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,000.044","1,078.374","1,129.563","1,114.089","1,123.530","1,170.494","1,188.804","1,157.091","1,200.065","1,176.816","1,289.662","1,347.718","1,376.366","1,426.301","1,431.693","1,518.508","1,572.262","1,642.596","1,675.145","1,719.503","1,805.749","1,887.165","1,946.178","1,991.983","2,072.475","2,106.090","2,188.655","2,314.987","2,403.226","2,402.369","2,411.157","2,460.722","2,551.659","2,702.203","2,839.732","2,832.219","2,868.733","2,996.136","3,072.773","3,260.769","3,354.180","3,575.311","3,961.229","4,243.964","4,500.581",2023,
Bhutan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,591.835,716.774,802.614,875.116,952.219,996.639,"1,063.558","1,265.926","1,461.517","1,573.340","1,760.782","1,913.033","2,023.867","2,175.049","2,302.131","2,506.547","2,683.760","2,837.157","2,967.396","3,134.597","3,336.714","3,545.173","3,830.763","4,184.567","4,492.212","4,827.346","5,194.537","5,850.893","6,473.355","6,828.574","7,501.840","8,321.064","8,928.525","9,268.994","9,660.724","10,161.838","10,894.869","11,596.397","12,096.051","12,823.226","13,261.552","13,104.328","14,574.759","15,705.502","16,754.619",2022,
Bolivia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,430.630","2,465.000","2,462.820","2,405.596","2,436.557","2,420.931","2,356.906","2,424.209","2,529.909","2,672.966","2,842.218","3,029.856","3,085.519","3,201.986","3,327.887","3,487.110","3,633.446","3,803.601","3,961.586","3,957.649","4,027.093","4,109.113","4,198.489","4,318.493","4,538.187","4,802.719","5,099.915","5,385.408","5,730.643","5,862.941","6,080.516","6,426.422","6,775.007","7,246.560","7,658.776","7,985.561","8,282.807","8,658.786","9,109.609","9,335.527","8,426.851","9,564.251","10,473.553","11,028.110","11,322.892",2017,
Bosnia and Herzegovina,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,102.968","3,905.838","4,500.162","5,039.578","5,371.167","5,615.850","5,984.943","6,336.896","6,908.947","7,421.495","8,081.470","8,810.743","9,503.018","9,529.309","9,803.095","10,217.605","10,491.935","11,150.258","11,490.973","12,125.425","12,662.712","13,334.220","14,395.325","15,744.164","15,488.970","17,287.092","19,346.667","20,431.303","21,498.089",2022,
Botswana,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,009.159","2,335.426","2,771.033","3,076.675","3,274.480","3,508.519","3,749.490","4,258.285","5,249.109","5,509.165","5,993.808","6,392.524","6,340.399","6,567.700","6,481.477","6,999.182","7,131.906","7,598.030","7,402.577","7,957.573","8,341.780","8,556.748","9,163.060","9,676.335","9,900.725","10,527.952","11,293.327","12,032.419","12,408.553","10,501.132","11,465.868","12,254.461","12,224.218","13,551.884","14,295.545","13,461.529","14,275.551","14,817.571","14,805.292","14,863.165","14,179.519","16,663.869","18,531.478","19,391.042","19,723.373",2021,
Brazil,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"4,427.939","4,532.319","4,736.640","4,653.791","4,971.614","5,420.615","5,828.799","6,070.430","6,186.153","6,518.464","6,291.047","6,460.698","6,470.632","6,823.181","7,225.904","7,584.731","7,669.110","7,941.583","7,934.334","7,963.272","8,333.612","8,527.042","8,813.197","8,982.016","9,643.571","10,151.103","10,761.746","11,605.183","12,309.433","12,252.012","13,226.640","13,935.215","14,356.717","14,922.341","15,138.365","14,621.149","14,173.734","14,523.000","15,432.162","16,035.469","16,062.817","18,028.100","19,824.369","21,052.021","22,122.710",2023,
Brunei Darussalam,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,"43,358.935","42,194.139","42,693.542","43,277.396","43,606.237","44,449.649","46,110.102","48,162.971","48,315.453","49,523.229","51,685.945","52,823.383","51,680.249","50,659.524","51,708.139","53,063.377","54,399.764","56,160.013","57,859.995","58,715.367","59,739.896","63,232.401","64,078.501","63,192.610","61,622.340","62,883.920","65,472.091","66,400.915","65,342.145","64,129.222","63,711.821","62,001.508","62,579.075","65,329.381","68,074.251","70,673.187","80,202.909","83,632.759","86,866.545","91,046.396",2023,
Bulgaria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"5,075.912","5,833.355","6,435.457","6,870.849","7,433.199","7,800.683","8,382.133","9,005.613","9,572.508","9,941.654","9,434.622","8,778.657","8,308.064","7,604.191","7,571.294","7,692.925","8,328.332","7,332.349","7,749.849","7,233.810","7,658.695","8,396.821","9,080.155","9,799.964","10,774.201","11,961.358","13,236.676","14,574.087","15,835.204","15,486.795","16,043.632","17,122.202","17,674.539","17,973.718","18,571.836","19,512.200","20,442.160","21,536.798","23,088.009","25,616.355","25,800.987","29,573.251","34,923.426","36,860.958","39,185.322",2023,
Burkina Faso,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,385.644,423.292,444.720,445.229,456.834,511.186,547.281,544.449,580.573,600.273,602.976,662.944,663.098,685.072,691.258,727.211,801.354,844.703,891.767,942.722,953.406,"1,008.217","1,036.102","1,104.177","1,148.050","1,246.727","1,323.559","1,373.030","1,437.701","1,446.388","1,541.632","1,628.553","1,713.180","1,788.638","1,842.793","1,876.221","1,948.853","2,047.300","2,080.425","2,232.881","2,374.434","2,462.901","2,612.137","2,712.681","2,850.074",2022,
Burundi,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,375.248,447.597,456.859,478.370,482.272,540.318,552.907,580.767,613.521,627.786,654.620,695.505,698.632,671.751,648.583,598.525,550.588,553.312,575.887,573.625,579.678,585.047,590.407,602.544,623.349,667.936,704.670,726.937,752.143,760.538,784.134,807.552,833.333,862.512,888.104,836.300,813.160,806.067,798.297,828.282,835.666,886.893,939.301,969.884,985.645,2021,
Cabo Verde,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,860.499,"1,005.966","1,078.431","1,202.696","1,266.219","1,389.500","1,428.145","1,495.297","1,606.878","1,727.327","1,764.223","1,806.724","1,859.094","1,993.898","2,184.803","2,336.273","2,476.896","2,649.620","2,841.144","3,155.319","3,391.322","3,608.873","3,787.582","4,079.561","4,324.994","4,651.136","5,163.983","6,039.199","6,518.012","6,391.492","6,516.886","6,873.298","7,037.488","7,162.333","7,296.962","7,392.519","7,750.226","8,213.839","8,168.715","8,892.673","7,052.220","7,876.348","9,861.034","10,681.550","11,397.066",2018,
Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,632.667,697.709,727.169,738.657,793.881,839.166,862.709,914.547,958.400,"1,003.552","1,033.310","1,066.756","1,191.255","1,319.783","1,426.036","1,514.304","1,675.753","1,853.424","2,131.189","2,398.332","2,675.944","2,884.508","2,972.231","3,110.510","3,351.519","3,616.295","3,903.362","4,220.442","4,493.536","4,816.529","5,213.911","5,777.847","6,308.101","6,083.353","6,368.944","7,064.245","7,608.157","8,136.533",2022,
Cameroon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,309.862","1,630.841","1,811.600","1,957.794","2,122.921","2,306.106","2,444.869","2,383.590","2,208.808","2,188.425","2,066.112","1,994.166","1,918.924","1,846.697","1,785.825","1,832.210","1,904.086","1,984.291","2,047.494","2,101.963","2,161.344","2,224.664","2,306.672","2,404.524","2,561.291","2,602.296","2,702.377","2,811.240","2,867.308","2,880.180","2,919.414","3,000.106","3,107.693","3,229.231","3,382.720","3,509.890","3,604.752","3,700.341","3,945.571","4,180.421","4,313.605","4,739.235","5,137.146","5,361.094","5,565.668",2022,
Canada,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,862.755","13,269.808","13,481.384","14,224.769","15,460.587","16,552.087","17,075.347","17,983.107","19,181.534","20,052.260","20,529.995","20,517.188","20,919.697","21,733.519","22,948.032","23,808.510","24,398.047","25,623.086","26,690.736","28,232.099","30,077.518","31,003.774","32,081.282","32,995.763","34,604.971","36,488.719","38,218.881","39,669.530","40,404.680","39,019.001","40,261.543","41,962.427","43,035.423","44,315.275","45,914.790","46,266.588","46,699.042","48,384.579","50,068.120","50,584.055","48,630.152","55,806.845","61,040.881","62,266.066","62,765.568",2023,
Central African Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,513.619,616.366,615.560,586.685,652.451,679.626,718.442,721.069,746.783,785.223,800.438,795.613,749.493,734.299,818.324,838.739,780.998,804.657,818.374,830.876,797.053,817.899,829.652,807.449,810.631,841.296,890.047,932.855,955.083,994.526,"1,061.681","1,111.225","1,177.300",756.424,773.422,813.386,844.724,883.811,929.349,"1,010.155","1,093.064","1,158.698","1,250.608","1,291.253","1,296.324",2021,
Chad,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,498.439,476.260,520.985,611.369,649.886,703.809,738.795,760.711,820.168,841.230,872.063,964.007,977.853,949.325,990.115,970.258,975.414,"1,013.049","1,058.063","1,028.195","1,004.551","1,104.310","1,170.673","1,317.710","1,741.168","1,875.237","1,897.773","1,957.354","2,007.895","2,011.266","2,174.945","2,173.874","2,289.539","2,378.820","2,484.955","2,462.181","2,256.135","2,181.739","2,325.477","2,462.353","2,240.207","2,422.415","2,611.735","2,757.762","2,832.345",2022,
Chile,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"3,479.431","3,979.135","3,592.235","3,570.900","3,856.520","3,994.562","4,227.811","4,538.364","4,955.684","5,601.557","5,926.103","6,485.001","7,204.350","7,737.280","8,174.067","8,958.564","9,443.572","10,178.485","10,585.600","10,573.653","11,216.877","11,696.470","12,124.575","12,812.965","13,890.975","15,011.640","16,245.759","17,367.617","18,175.132","17,886.393","18,957.807","20,326.607","21,740.976","22,624.125","23,199.347","23,673.888","24,055.811","24,479.457","25,496.434","25,733.104","25,236.623","28,776.709","31,224.659","32,204.174","33,574.404",2020,
China,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,274.623,311.621,355.043,403.419,475.288,548.661,600.133,675.691,765.774,816.880,867.858,965.342,"1,115.328","1,285.465","1,467.465","1,645.122","1,822.365","2,004.951","2,166.873","2,347.032","2,583.885","2,842.035","3,129.014","3,489.524","3,922.685","4,480.004","5,177.731","6,044.342","6,717.527","7,361.460","8,202.144","9,114.835","9,939.057","10,829.633","11,753.562","12,632.798","13,537.583","14,655.355","15,915.783","17,306.842","18,091.310","20,333.063","22,438.863","24,502.814","26,309.991",2023,
Colombia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,801.961","3,068.549","3,218.437","3,325.304","3,486.777","3,734.074","3,949.174","4,176.832","4,407.565","4,640.516","4,920.131","5,101.210","5,337.844","5,668.204","5,979.179","6,314.697","6,457.384","6,706.055","6,715.682","6,442.216","6,680.547","6,857.435","7,049.433","7,377.448","7,882.084","8,387.622","9,118.027","9,881.625","10,288.044","10,355.521","10,833.815","11,701.609","12,262.505","12,986.407","13,677.285","14,074.832","14,345.268","14,616.787","15,481.289","16,349.418","15,587.650","17,724.572","20,149.399","20,787.614","21,436.901",2023,
Comoros,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,130.071","1,272.798","1,372.873","1,436.989","1,535.609","1,584.915","1,605.777","1,633.965","1,727.015","1,729.475","1,874.342","1,772.367","1,900.122","1,950.236","1,871.435","1,975.484","1,958.764","2,036.149","2,015.943","2,057.805","2,043.198","2,158.267","2,246.214","2,289.479","2,377.953","2,542.974","2,522.492","2,559.829","2,658.416","2,705.519","2,783.237","2,896.349","2,979.362","3,098.237","3,150.057","3,147.053","3,211.995","3,325.504","3,256.076","3,274.703","3,228.773","3,363.698","3,570.970","3,725.593","3,860.618",2022,
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,985.276,"1,053.904","1,078.356","1,100.081","1,156.826","1,160.646","1,200.293","1,222.549","1,230.922","1,222.722","1,147.302","1,051.245",925.955,788.920,729.260,740.764,719.300,643.049,612.821,586.138,534.609,520.011,527.421,555.725,595.013,652.514,684.577,738.766,782.899,766.921,810.544,861.995,924.244,998.321,"1,056.049","1,098.573","1,078.028","1,101.363","1,142.319","1,213.148","1,223.361","1,446.056","1,631.949","1,774.336","1,842.416",0,
Republic of Congo,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,622.539","1,767.879","1,864.799","1,924.768","1,980.473","2,028.668","2,054.573","2,089.968","2,558.701","3,034.369","3,084.071","3,206.479","3,324.116","3,350.369","3,279.090","3,387.812","3,476.258","3,429.539","3,698.544","3,517.734","3,869.642","3,626.998","3,633.606","3,620.712","3,586.776","3,897.197","4,178.399","3,862.892","4,049.206","4,369.215","4,663.610","4,709.541","5,130.013","5,056.974","5,360.943","5,095.420","4,771.620","4,476.994","5,636.426","5,766.755","4,813.316","5,707.174","6,083.689","6,252.157","6,403.607",2021,
Costa Rica,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"4,174.002","4,333.627","4,142.028","4,301.713","4,678.343","4,718.583","4,931.649","5,148.864","5,367.198","5,743.062","6,023.621","6,223.229","6,799.154","7,263.720","7,529.621","7,782.550","7,818.356","8,177.897","8,647.548","8,923.619","9,547.188","9,737.003","10,050.676","10,524.190","11,107.530","11,732.177","12,787.714","14,011.001","14,741.221","14,487.944","15,163.128","15,951.569","16,822.175","17,312.577","18,011.356","18,615.889","19,350.081","20,279.603","21,221.974","22,990.944","21,694.418","23,580.956","26,163.154","28,226.753","29,779.185",2023,
Côte d'Ivoire,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,582.721","2,860.707","2,930.066","2,825.038","2,790.448","2,871.197","2,953.594","2,899.277","3,007.683","3,092.091","3,048.312","3,031.124","2,975.295","2,766.995","2,748.569","2,878.905","3,082.718","3,200.917","3,279.280","3,285.532","3,198.988","3,183.947","3,091.119","3,022.856","3,055.019","3,115.956","3,170.094","3,221.340","3,273.293","3,306.035","3,318.833","3,133.187","3,439.894","3,716.546","3,999.447","4,271.378","4,492.756","4,775.636","5,029.584","5,598.835","5,610.457","6,096.749","6,744.700","7,214.352","7,648.157",2021,
Croatia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,853.079","8,528.369","9,428.090","10,428.971","11,140.717","11,879.757","12,429.987","12,342.609","13,612.548","14,623.928","15,707.957","16,911.281","18,083.063","19,431.903","21,042.847","22,714.929","23,619.984","22,076.217","22,122.738","22,639.791","22,599.206","22,978.674","23,397.303","24,412.866","25,727.350","27,390.569","29,157.034","32,332.007","30,690.102","37,234.082","42,946.961","46,005.225","48,811.093",2023,
Cyprus,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"6,087.963","6,781.936","7,567.916","8,174.915","9,094.347","9,712.771","10,143.317","11,015.995","12,224.847","13,533.308","14,769.243","14,980.950","16,326.363","16,421.644","17,394.763","19,328.311","19,595.657","20,153.591","21,340.528","22,469.575","24,080.274","25,336.742","26,386.038","27,296.540","29,065.655","30,995.988","32,965.837","34,931.806","36,028.417","34,601.555","34,850.240","34,840.501","33,380.881","31,571.272","31,840.244","33,665.361","36,163.823","38,626.820","40,951.164","44,995.253","42,990.901","48,704.181","54,288.993","56,628.363","59,857.876",2023,
